WKT,WKT,name,link_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type,link_type_name
"LINESTRING EMPTY",LINESTRING EMPTY,Connector,"1","1285","5018","1","0.2384","7","21","10000","2",
"LINESTRING EMPTY",LINESTRING EMPTY,Connector,"2","1286","11125","1","0.466","7","21","10000","2",
"LINESTRING EMPTY",LINESTRING EMPTY,Connector,"3","1289","4952","1","0.2427","7","21","10000","2",
"LINESTRING EMPTY",LINESTRING EMPTY,Connector,"4","1289","5018","1","0.2621","7","21","10000","2",
"LINESTRING EMPTY",LINESTRING EMPTY,Connector,"5","1289","11124","1","0.5069","7","21","10000","2",
"LINESTRING EMPTY",LINESTRING EMPTY,Connector,"6","1289","11125","1","0.5047","7","21","10000","2",
"LINESTRING EMPTY",LINESTRING EMPTY,Connector,"7","1290","4952","1","0.2516","7","21","10000","2",
"LINESTRING EMPTY",LINESTRING EMPTY,Connector,"8","1296","5240","1","0.2056","7","21","10000","2",
"LINESTRING EMPTY",LINESTRING EMPTY,Connector,"9","1299","4958","1","0.1988","7","21","10000","2",
"LINESTRING EMPTY",LINESTRING EMPTY,Connector,"10","1299","11129","1","0.3637","7","21","10000","2",
"LINESTRING EMPTY",LINESTRING EMPTY,Connector,"11","1314","11146","1","0.2758","7","21","10000","2",
"LINESTRING EMPTY",LINESTRING EMPTY,Connector,"12","1316","11148","1","0.2608","7","21","10000","2",
"LINESTRING EMPTY",LINESTRING EMPTY,Connector,"13","1318","11160","1","0.2384","7","21","10000","2",
"LINESTRING EMPTY",LINESTRING EMPTY,Connector,"14","1319","11124","1","0.2054","7","21","10000","2",
"LINESTRING EMPTY",LINESTRING EMPTY,Connector,"15","1320","5820","1","0.3445","7","21","10000","2",
"LINESTRING EMPTY",LINESTRING EMPTY,Connector,"16","1320","11148","1","0.2527","7","21","10000","2",
"LINESTRING EMPTY",LINESTRING EMPTY,Connector,"17","1322","5589","1","0.2229","7","21","10000","2",
"LINESTRING EMPTY",LINESTRING EMPTY,Connector,"18","1322","11161","1","0.267","7","21","10000","2",
"LINESTRING EMPTY",LINESTRING EMPTY,Connector,"19","1323","5592","1","0.2697","7","21","10000","2",
"LINESTRING EMPTY",LINESTRING EMPTY,Connector,"20","1325","10853","1","0.1583","7","20","10000","2",
"LINESTRING EMPTY",LINESTRING EMPTY,Connector,"21","1346","11172","1","0.2518","7","21","10000","2",
